id,name_ru,name_en,name_tm,short_description_ru,short_description_en,short_description_tm,description_ru,description_en,description_tm,ingredients_ru,ingredients_en,ingredients_tm
49,Руккола с апельсином,Arugula and Orange Salad,Rukolaly we apelsinli salad,"Свежо, ярко и сбалансированно. Состав: Руккола, апельсины, помидоры, вяленные помидоры, балзамика, соль, перец, орешки кедровые","Fresh, bright, and beautifully balanced. Ingredients: Руккола, апельсины, помидоры, вяленные помидоры, балзамика, соль, перец, орешки кедровые","Taze, achyk we denagramly. Duzumi: Руккола, апельсины, помидоры, вяленные помидоры, балзамика, соль, перец, орешки кедровые","Руккола с апельсином собирает вкус вокруг Руккола, апельсины, помидоры, вяленные помидоры, балзамика. Блюдо звучит сочно, цельно и очень аппетитно.","Arugula and Orange Salad builds its flavor around Руккола, апельсины, помидоры, вяленные помидоры, балзамика. It lands rich, juicy, and deeply satisfying.","Rukolaly we apelsinli salad Руккола, апельсины, помидоры, вяленные помидоры, балзамика bilen tagamyny yygna?ar. Netijede tagamy ba?, ?ireli we ?r?n i?d?a?ar bol?ar.",,,
50,Трио мини-бургеров,Mini Burger Trio,Mini burger uchlugi,"Сочно, плотно и очень убедительно. Состав: Булочки бриошь, лист салата, стейк, говяжья котлета, куриная котлета, солёный огурец, помидоры, красный лук, фирменные соусы","Juicy, hearty, and impossible to ignore. Ingredients: Булочки бриошь, лист салата, стейк, говяжья котлета, куриная котлета, солёный огурец, помидоры, красный лук, фирменные соусы","Shireli, dokundyryjy we oran ozune cekiji. Duzumi: Булочки бриошь, лист салата, стейк, говяжья котлета, куриная котлета, солёный огурец, помидоры, красный лук, фирменные соусы","Трио мини-бургеров собирает вкус вокруг Булочки бриошь, лист салата, стейк, говяжья котлета, куриная котлета. Блюдо звучит сочно, цельно и очень аппетитно.","Mini Burger Trio builds its flavor around Булочки бриошь, лист салата, стейк, говяжья котлета, куриная котлета. It lands rich, juicy, and deeply satisfying.","Mini burger uchlugi Булочки бриошь, лист салата, стейк, говяжья котлета, куриная котлета bilen tagamyny yygna?ar. Netijede tagamy ba?, ?ireli we ?r?n i?d?a?ar bol?ar.",,,
51,Картофель Фри,French Fries,Fri kartofy,"Просто, вкусно и всегда к месту. Состав: картофель, соль","Simple, satisfying, and always welcome. Ingredients: картофель, соль","Yonekey, tagamly we hemi?e yerlikli. Duzumi: картофель, соль","Картофель Фри собирает вкус вокруг картофель, соль. Блюдо звучит сочно, цельно и очень аппетитно.","French Fries builds its flavor around картофель, соль. It lands rich, juicy, and deeply satisfying.","Fri kartofy картофель, соль bilen tagamyny yygna?ar. Netijede tagamy ba?, ?ireli we ?r?n i?d?a?ar bol?ar.",,,
52,Крем суп из шампиньонов,Cream of Mushroom Soup,Komelek krem chorbasy,"Тепло, мягко и по-домашнему уютно. Состав: Шампиньоны, лук репчатый, сливки, чеснок, соль, перец","Warm, gentle, and comfortingly homestyle. Ingredients: Шампиньоны, лук репчатый, сливки, чеснок, соль, перец","Yyly, yumshak we oy tagamy yaly rahat. Duzumi: Шампиньоны, лук репчатый, сливки, чеснок, соль, перец","Крем суп из шампиньонов собирает вкус вокруг Шампиньоны, лук репчатый, сливки, чеснок, соль. Блюдо звучит сочно, цельно и очень аппетитно.","Cream of Mushroom Soup builds its flavor around Шампиньоны, лук репчатый, сливки, чеснок, соль. It lands rich, juicy, and deeply satisfying.","Komelek krem chorbasy Шампиньоны, лук репчатый, сливки, чеснок, соль bilen tagamyny yygna?ar. Netijede tagamy ba?, ?ireli we ?r?n i?d?a?ar bol?ar.",,,
53,Крем суп из тыквы,Cream of Pumpkin Soup,Kadi krem chorbasy,"Тепло, мягко и по-домашнему уютно. Состав: Тыква, лук репчатый, базилик, чеснок, соль, перец","Warm, gentle, and comfortingly homestyle. Ingredients: Тыква, лук репчатый, базилик, чеснок, соль, перец","Yyly, yumshak we oy tagamy yaly rahat. Duzumi: Тыква, лук репчатый, базилик, чеснок, соль, перец","Крем суп из тыквы собирает вкус вокруг Тыква, лук репчатый, базилик, чеснок, соль. Блюдо звучит сочно, цельно и очень аппетитно.","Cream of Pumpkin Soup builds its flavor around Тыква, лук репчатый, базилик, чеснок, соль. It lands rich, juicy, and deeply satisfying.","Kadi krem chorbasy Тыква, лук репчатый, базилик, чеснок, соль bilen tagamyny yygna?ar. Netijede tagamy ba?, ?ireli we ?r?n i?d?a?ar bol?ar.",,,
54,Крем суп из баклажанов,Cream of Eggplant Soup,Badamjan krem chorbasy,"Тепло, мягко и по-домашнему уютно. Состав: Баклажаны, лук репчатый, базилик, чеснок, соль, перец","Warm, gentle, and comfortingly homestyle. Ingredients: Баклажаны, лук репчатый, базилик, чеснок, соль, перец","Yyly, yumshak we oy tagamy yaly rahat. Duzumi: Баклажаны, лук репчатый, базилик, чеснок, соль, перец","Крем суп из баклажанов собирает вкус вокруг Баклажаны, лук репчатый, базилик, чеснок, соль. Блюдо звучит сочно, цельно и очень аппетитно.","Cream of Eggplant Soup builds its flavor around Баклажаны, лук репчатый, базилик, чеснок, соль. It lands rich, juicy, and deeply satisfying.","Badamjan krem chorbasy Баклажаны, лук репчатый, базилик, чеснок, соль bilen tagamyny yygna?ar. Netijede tagamy ba?, ?ireli we ?r?n i?d?a?ar bol?ar.",,,
55,Шримпбургер,Shrimp Burger,Shrimp burger,"Сочно, плотно и очень убедительно. Состав: Булочка бриошь, креветка, свежий огурец, помидор, лист салата, фирменный соус","Juicy, hearty, and impossible to ignore. Ingredients: Булочка бриошь, креветка, свежий огурец, помидор, лист салата, фирменный соус","Shireli, dokundyryjy we oran ozune cekiji. Duzumi: Булочка бриошь, креветка, свежий огурец, помидор, лист салата, фирменный соус","Шримпбургер собирает вкус вокруг Булочка бриошь, креветка, свежий огурец, помидор, лист салата. Блюдо звучит сочно, цельно и очень аппетитно.","Shrimp Burger builds its flavor around Булочка бриошь, креветка, свежий огурец, помидор, лист салата. It lands rich, juicy, and deeply satisfying.","Shrimp burger Булочка бриошь, креветка, свежий огурец, помидор, лист салата bilen tagamyny yygna?ar. Netijede tagamy ba?, ?ireli we ?r?n i?d?a?ar bol?ar.",,,
56,Чикенбургер,Chicken Burger,Towuk burger,"Сочно, плотно и очень убедительно. Состав: Булочка бриошь, куриная котлета, лист салата, лук, солёные огурцы, помидоры, фирменный соус","Juicy, hearty, and impossible to ignore. Ingredients: Булочка бриошь, куриная котлета, лист салата, лук, солёные огурцы, помидоры, фирменный соус","Shireli, dokundyryjy we oran ozune cekiji. Duzumi: Булочка бриошь, куриная котлета, лист салата, лук, солёные огурцы, помидоры, фирменный соус","Чикенбургер собирает вкус вокруг Булочка бриошь, куриная котлета, лист салата, лук, солёные огурцы. Блюдо звучит сочно, цельно и очень аппетитно.","Chicken Burger builds its flavor around Булочка бриошь, куриная котлета, лист салата, лук, солёные огурцы. It lands rich, juicy, and deeply satisfying.","Towuk burger Булочка бриошь, куриная котлета, лист салата, лук, солёные огурцы bilen tagamyny yygna?ar. Netijede tagamy ba?, ?ireli we ?r?n i?d?a?ar bol?ar.",,,
57,Чизбургер,Cheeseburger,Chizburger,"Сочно, плотно и очень убедительно. Состав: Булочка бриошь, говяжья котлета, помидоры, солёный огурец, лист салата, плавленый сыр, лук, фирменный соус","Juicy, hearty, and impossible to ignore. Ingredients: Булочка бриошь, говяжья котлета, помидоры, солёный огурец, лист салата, плавленый сыр, лук, фирменный соус","Shireli, dokundyryjy we oran ozune cekiji. Duzumi: Булочка бриошь, говяжья котлета, помидоры, солёный огурец, лист салата, плавленый сыр, лук, фирменный соус","Чизбургер собирает вкус вокруг Булочка бриошь, говяжья котлета, помидоры, солёный огурец, лист салата. Блюдо звучит сочно, цельно и очень аппетитно.","Cheeseburger builds its flavor around Булочка бриошь, говяжья котлета, помидоры, солёный огурец, лист салата. It lands rich, juicy, and deeply satisfying.","Chizburger Булочка бриошь, говяжья котлета, помидоры, солёный огурец, лист салата bilen tagamyny yygna?ar. Netijede tagamy ba?, ?ireli we ?r?n i?d?a?ar bol?ar.",,,
58,Цезарь - тунец,Tuna Caesar Salad,Tunesli Sezar salady,"Свежо, ярко и сбалансированно. Состав: Тунец, пекинская капуста, латук, черри, пармезан, сухарики, перепелиные яйца, соус «Цезарь»","Fresh, bright, and beautifully balanced. Ingredients: Тунец, пекинская капуста, латук, черри, пармезан, сухарики, перепелиные яйца, соус «Цезарь»","Taze, achyk we denagramly. Duzumi: Тунец, пекинская капуста, латук, черри, пармезан, сухарики, перепелиные яйца, соус «Цезарь»","Цезарь - тунец собирает вкус вокруг Тунец, пекинская капуста, латук, черри, пармезан. Блюдо звучит сочно, цельно и очень аппетитно.","Tuna Caesar Salad builds its flavor around Тунец, пекинская капуста, латук, черри, пармезан. It lands rich, juicy, and deeply satisfying.","Tunesli Sezar salady Тунец, пекинская капуста, латук, черри, пармезан bilen tagamyny yygna?ar. Netijede tagamy ba?, ?ireli we ?r?n i?d?a?ar bol?ar.",,,
