id,name_ru,name_en,name_tm,short_description_ru,short_description_en,short_description_tm,description_ru,description_en,description_tm,ingredients_ru,ingredients_en,ingredients_tm
150,Рамэн с курицей,Chicken Ramen,Towukly ramen,"Глубокий, согревающий и насыщенный. Состав: Куриный бульон, куриное филе, яйцо, пекинская капуста, лапша, соевый соус, соль, перец","Deep, warming, and richly satisfying. Ingredients: Chicken broth, chicken fillet, egg, napa cabbage, noodles, soy sauce, salt, pepper","Çuň, ýyly we ýokumly. Düzümi: Towuk şorbasy, towuk eti, ýumurtga, pekin kelemi, lapşa, soýa sousy, duz, burç","Ароматный куриный бульон, нежное филе, лапша и яйцо создают ту самую классическую основу, к которой хочется возвращаться. Пекинская капуста и соевый соус добавляют баланса, а специи собирают вкус в цельную, уютную композицию. Когда нужен суп, который не просто греет, а по-настоящему успокаивает.","Aromatic chicken broth, tender fillet, noodles, and egg create the kind of classic base you always want to come back to. Napa cabbage and soy sauce bring balance, while the spices pull everything into one warm, comforting composition. This is the soup that does more than warm you up — it settles you.","Hoşboý towuk şorbasy, näzik et, lapşa we ýumurtga hemişe gaýdyp gelmek isleýän şol klassiki esasy döredýär. Pekin kelemi we soýa sousy deňagramlylyk berýär, ysly zatlar bolsa tagamy bir ýyly, rahat kompozisiýa öwürýär. Bu diňe gyzdyrýan däl, köşeşdirýän çorba.",,,
151,Суп лагман с говядиной,Lagman Soup with Beef,Sygyr etli lagman çorbasy,"Сытный, насыщенный и по-настоящему домашний. Состав: Говядина, томаты, лапша, свежие овощи, лук, соль, перец, укроп, петрушка","Hearty, rich, and truly homestyle. Ingredients: Beef, tomatoes, noodles, fresh vegetables, onion, salt, pepper, dill, parsley","Dokundyryjy, baý we öý tagamy ýaly. Düzümi: Sygyr eti, pomidorlar, lapşa, täze gök önümler, sogan, duz, burç, ukrop, petrüşka","Говядина, лапша и овощи в густом томатном бульоне дают плотный, согревающий вкус без лишней тяжести. Лук, зелень и специи добавляют глубину, аромат и ту самую домашнюю ноту, ради которой хочется задержаться подольше. Когда нужен не просто суп, а полноценная еда с характером.","Beef, noodles, and vegetables in a thick tomato broth create a full, warming flavor without feeling heavy. Onion, herbs, and spices bring depth, aroma, and that unmistakably homestyle note that makes you slow down and enjoy every spoonful. More than soup — a complete meal with character.","Sygyr eti, lapşa we gök önümler goýy pomidorly şorbada agyr däl, ýöne dokundyryjy we ýyly tagam döredýär. Sogan, gökler we ysly zatlar öý naharyna mahsus çuňluk we hoşboý ys goşýar. Bu diňe çorba däl — häsiýetli doly nahar.",,,
152,Тайский с говядиной,Thai Style Beef,Taý usuly sygyr eti,"Яркий, пряный и с характером. Состав: Говядина, паприка, морковь по-корейски, фунчоза, помидоры, соевый соус, кунжут, кинза","Bold, spicy, and full of character. Ingredients: Beef, paprika, Korean-style carrot, glass noodles, tomatoes, soy sauce, sesame, cilantro","Açyk, ysly we häsiýetli. Düzümi: Sygyr eti, paprika, koreý usuly käşir, funçoza, pomidorlar, soýa sousy, künji, kinza","Сочная говядина, фунчоза и свежие овощи обжариваются с соевым соусом, кунжутом и кинзой, раскрывая насыщенный вкус с лёгкой азиатской дерзостью. Морковь по-корейски и паприка добавляют яркости, а специи оставляют приятное, тёплое послевкусие. Для тех, кто любит еду, в которой есть энергия.","Juicy beef, glass noodles, and fresh vegetables are stir-fried with soy sauce, sesame, and cilantro for a rich flavor with a subtle Asian edge. Korean-style carrot and paprika add brightness, while the spices leave a warm, memorable finish. For those who like their food with a little energy.","Şireli sygyr eti, funçoza we täze gök önümler soýa sousy, künji we kinza bilen gowrulyp, ýeňil aziýa öwüşginli baý tagam döredýär. Koreý usuly käşir bilen paprika oňa açyklyk berýär, ysly zatlar bolsa ýyly we ýatda galýan tagam galdyrýar. Nahardan energiýa garaşýanlar üçin.",,,
153,Огуречный салат в тайском стиле,Thai Style Cucumber Salad,Taý usuly hyýar salady,"Свежий, хрустящий и с ярким акцентом. Состав: Огурцы, зелёный лук, чеснок, соус, мёд, соль, кунжутное масло, перец чили, кунжут","Fresh, crisp, and full of contrast. Ingredients: Cucumbers, green onion, garlic, sauce, honey, salt, sesame oil, chili pepper, sesame","Täze, şypbyk we açyk öwüşginli. Düzümi: Hyýarlar, ýaşyl sogan, sarymsak, sous, bal, duz, künji ýagy, çili burç, künji","Хрустящие огурцы, чеснок и зелёный лук соединяются с мёдом, кунжутным маслом и соусом в яркий, бодрящий салат. Лёгкая сладость, освежающая кислинка и мягкая острота чили создают вкус, который будто моментально пробуждает аппетит. Идеальный старт или лёгкое сопровождение к основному блюду.","Crisp cucumbers, garlic, and green onion come together with honey, sesame oil, and sauce in a bright, refreshing salad. A touch of sweetness, a clean tang, and a soft chili heat wake up the appetite instantly. Perfect as a lively starter or a fresh companion to your main dish.","Şypbyk hyýarlar, sarymsak we ýaşyl sogan bal, künji ýagy we sous bilen birleşip, serginlediji salada öwrülýär. Ýeňil süýjülik, tämiz turşulyk we ýumşak çili ajylygy işdäni derrew açýar. Başlangyç hökmünde hem, esasy nahara goşmaça hökmünde hem ajaýyp saýlaw.",,,
154,Жареная лапша с курицей,Fried Noodles with Chicken,Towukly gowrulan lapşa,"Горячая, сочная и очень убедительная. Состав: Курица, лапша, шампиньоны, свежие овощи, лук, чеснок, имбирь, чили, кунжут, кинза","Hot, juicy, and deeply satisfying. Ingredients: Chicken, noodles, mushrooms, fresh vegetables, onion, garlic, ginger, chili, sesame, cilantro","Gyzgyn, şireli we örän tagamly. Düzümi: Towuk, lapşa, şampinionlar, täze gök önümler, sogan, sarymsak, zynjyr, çili, künji, kinza","Лапша обжаривается с курицей, овощами, чесноком и имбирём до насыщенного, объёмного вкуса. Чили добавляет мягкий удар, а кунжут и кинза собирают блюдо в узнаваемый, аппетитный wok-образ. Тот случай, когда классика работает безотказно.","Noodles are stir-fried with chicken, vegetables, garlic, and ginger until the flavor turns rich and layered. Chili brings a gentle kick, while sesame and cilantro complete that unmistakable wok character. A classic that delivers every single time.","Lapşa towuk, gök önümler, sarymsak we zynjyr bilen baý hem gatlakly tagam alýança gowrulýar. Çili ýeňil ajylyk berýär, künji bilen kinza bolsa tanalýan wok häsiýetini tamamlaýar. Her gezek ýerine düşýän klassika.",,,
155,Жареная лапша с креветками,Fried Noodles with Shrimp,Krewetkaly gowrulan lapşa,"Лёгкая, сочная и с морским акцентом. Состав: Креветки, лапша, шампиньоны, свежие овощи, лук, чеснок, чили, имбирь, кунжут, кинза","Light, juicy, and touched by the sea. Ingredients: Shrimp, noodles, mushrooms, fresh vegetables, onion, garlic, chili, ginger, sesame, cilantro","Ýeňil, şireli we deňiz öwüşginli. Düzümi: Krewetkalar, lapşa, şampinionlar, täze gök önümler, sogan, sarymsak, çili, zynjyr, künji, kinza","Креветки, лапша и свежие овощи быстро обжариваются с чесноком, имбирём и соусами, сохраняя сочность и яркость вкуса. Чили добавляет темперамент, кунжут и кинза — ароматную глубину. Лёгкое по ощущению блюдо, которое при этом звучит очень выразительно.","Shrimp, noodles, and fresh vegetables are quickly stir-fried with garlic, ginger, and sauces, keeping everything juicy and bright. Chili adds character, while sesame and cilantro deepen the aroma. Light in feel, but vivid and expressive in flavor.","Krewetkalar, lapşa we täze gök önümler sarymsak, zynjyr we souslar bilen çalt gowrulyp, şireliligini we açyk tagamyny saklaýar. Çili oňa häsiýet berýär, künji bilen kinza bolsa ysyny çuňlaşdyrýar. Ýeňil duýulýan, ýöne tagamy örän täsirli nahar.",,,
156,Жареная лапша с морепродуктами,Fried Noodles with Seafood,Deňiz önümleri bilen gowrulan lapşa,"Насыщенная, ароматная и со вкусом моря. Состав: Микс морепродуктов, лапша, шампиньоны, свежие овощи, лук, чеснок, чили, имбирь, кунжут, кинза","Rich, aromatic, and full of sea flavor. Ingredients: Seafood mix, noodles, mushrooms, fresh vegetables, onion, garlic, chili, ginger, sesame, cilantro","Baý, ysly we deňiz tagamly. Düzümi: Deňiz önümleri garyndysy, lapşa, şampinionlar, täze gök önümler, sogan, sarymsak, çili, zynjyr, künji, kinza","Микс морепродуктов, лапша и овощи обжариваются до сочности с чесноком и имбирём, создавая плотный, яркий вкус. Чили добавляет характер, а кунжут и кинза усиливают ароматическую глубину. Хороший выбор, когда хочется морской темы, но с настоящей wok-энергией.","A mix of seafood, noodles, and vegetables is stir-fried with garlic and ginger until juicy and deeply flavorful. Chili gives it character, while sesame and cilantro build aromatic depth. The right choice when you want sea flavor with true wok energy.","Deňiz önümleriniň garyndysy, lapşa we gök önümler sarymsak hem-de zynjyr bilen şireli bolup, baý tagam döredýänçä gowrulýar. Çili häsiýet berýär, künji bilen kinza bolsa hoşboý ysyny güýçlendirýär. Deňiz tagamyny wok energiýasy bilen isleýänler üçin gowy saýlaw.",,,
157,Жареная лапша с телятиной,Fried Noodles with Veal,Sygyr etli gowrulan lapşa,"Сытная, насыщенная и с мясным акцентом. Состав: Телятина, лапша, шампиньоны, свежие овощи, лук, чеснок, чили, имбирь, кунжут, кинза","Hearty, rich, and meat-forward. Ingredients: Veal, noodles, mushrooms, fresh vegetables, onion, garlic, chili, ginger, sesame, cilantro","Dokundyryjy, baý we etli öwüşginli. Düzümi: Sygyr eti, lapşa, şampinionlar, täze gök önümler, sogan, sarymsak, çili, zynjyr, künji, kinza","Нежная телятина, лапша и овощи обжариваются с чесноком, имбирём и специями до насыщенного, уверенного вкуса. Чили даёт лёгкую остроту, кунжут и кинза — аромат и свежесть. Wok-вариант для тех, кто любит более плотный и мясной характер.","Tender veal, noodles, and vegetables are stir-fried with garlic, ginger, and spices for a rich, confident flavor. Chili adds a mild heat, while sesame and cilantro bring freshness and aroma. A wok option for those who prefer something fuller and more meat-driven.","Näzik sygyr eti, lapşa we gök önümler sarymsak, zynjyr we ysly zatlar bilen baý, ynamly tagam alýança gowrulýar. Çili ýeňil ajylyk berýär, künji bilen kinza bolsa ys we täzelik goşýar. Has etli we dokundyryjy wok halaýanlar üçin.",,,
158,Жареная лапша с овощами,Fried Noodles with Vegetables,Gök önümler bilen gowrulan lapşa,"Лёгкая, яркая и хорошо сбалансированная. Состав: Лапша, шампиньоны, свежие овощи, лук, чеснок, стручковый перец, имбирь, кунжут, кинза","Light, vibrant, and beautifully balanced. Ingredients: Noodles, mushrooms, fresh vegetables, onion, garlic, chili pepper, ginger, sesame, cilantro","Ýeňil, açyk we owadan deňagramly. Düzümi: Lapşa, şampinionlar, täze gök önümler, sogan, sarymsak, burç, zynjyr, künji, kinza","Лапша с овощами, чесноком и имбирём раскрывается во вкусе ярко и уверенно даже без мяса. Чили придаёт блюду темперамент, кунжут и кинза добавляют аромат и свежую ноту в финале. Идеально, когда хочется чего-то лёгкого, но не скучного.","Noodles with vegetables, garlic, and ginger open up into a bright, confident flavor even without meat. Chili gives the dish some spirit, while sesame and cilantro bring aroma and freshness at the finish. Perfect when you want something lighter but never boring.","Lapşa gök önümler, sarymsak we zynjyr bilen etsiz hem açyk we ynamly tagam açýar. Çili oňa häsiýet berýär, künji bilen kinza bolsa soňunda hoşboý ys hem täzelik goşýar. Ýeňil, ýöne asla içgysgynç däl bir zat islände iň gowy saýlaw.",,,
159,Жареный рис с овощами,Fried Rice with Vegetables,Gök önümler bilen gowrulan tüwi,"Лёгкий, ароматный и сбалансированный. Состав: Рис, шампиньоны, свежие овощи, лук, чеснок, чили, имбирь, кунжут, кинза","Light, aromatic, and well balanced. Ingredients: Rice, mushrooms, fresh vegetables, onion, garlic, chili, ginger, sesame, cilantro","Ýeňil, ysly we deňagramly. Düzümi: Tüwi, şampinionlar, täze gök önümler, sogan, sarymsak, çili, zynjyr, künji, kinza","Рис обжаривается с овощами, чесноком и имбирём до насыщенного вкуса, в котором всё звучит чисто и ясно. Чили добавляет лёгкую остроту, а кунжут и кинза придают блюду аромат и свежесть. Простая на вид позиция, которая приятно удивляет глубиной.","Rice is stir-fried with vegetables, garlic, and ginger until the flavor turns rich, clean, and beautifully focused. Chili adds a gentle spark, while sesame and cilantro bring aroma and freshness. Simple at first glance, but surprisingly deep in flavor.","Tüwi gök önümler, sarymsak we zynjyr bilen baý, arassa we deňagramly tagam alýança gowrulýar. Çili ýeňil ajylyk berýär, künji bilen kinza bolsa ys we täzelik goşýar. Görnüşi ýönekeý, tagamy bolsa garaşylýandan has çuň.",,,
