id,name_ru,name_en,name_tm,short_description_ru,short_description_en,short_description_tm,description_ru,description_en,description_tm,ingredients_ru,ingredients_en,ingredients_tm
1,Люля кебаб,Lyulya Kebab,Lule kebap,"Сочно, дымно и по-настоящему мясно. Состав: Фарш из говядины, лук, зелень","Juicy, smoky, and deeply meaty. Ingredients: Фарш из говядины, лук, зелень","Shireli, tusse ysly we hakyky et tagamly. Duzumi: Фарш из говядины, лук, зелень","Люля кебаб раскрывается особенно ярко благодаря сочетанию Фарш из говядины, лук, зелень. Блюдо получается сочным, понятным и очень аппетитным.","Lyulya Kebab comes together around Фарш из говядины, лук, зелень. The result is flavorful, confident, and deeply satisfying.","Lule kebap Фарш из говядины, лук, зелень bilen ayratyn achylyar. Netijede tagamy doly, dusnukli we oren ishdeachar bolyar.",,,
3,Дымок,Dymok Salad,Dymok salady,"Свежо, ярко и сбалансированно. Состав: Баклажан, помидор, перец болгарский, лук репчатый, чеснок, уксус, масло растительное, соль, зелень","Fresh, bright, and beautifully balanced. Ingredients: Баклажан, помидор, перец болгарский, лук репчатый, чеснок, уксус, масло растительное, соль, зелень","Taze, achyk we denagramly. Duzumi: Баклажан, помидор, перец болгарский, лук репчатый, чеснок, уксус, масло растительное, соль, зелень","Дымок раскрывается особенно ярко благодаря сочетанию Баклажан, помидор, перец болгарский, лук репчатый, чеснок. Блюдо получается сочным, понятным и очень аппетитным.","Dymok Salad comes together around Баклажан, помидор, перец болгарский, лук репчатый, чеснок. The result is flavorful, confident, and deeply satisfying.","Dymok salady Баклажан, помидор, перец болгарский, лук репчатый, чеснок bilen ayratyn achylyar. Netijede tagamy doly, dusnukli we oren ishdeachar bolyar.",,,
4,Баклажан,Grilled Eggplant,Mangal badamjan,"Легко, ароматно и с дымным акцентом. Состав: Жареный на мангале Баклажан","Light, aromatic, and touched with smoke. Ingredients: Жареный на мангале Баклажан","Yenil, ysly we tusse owushginli. Duzumi: Жареный на мангале Баклажан","Баклажан раскрывается особенно ярко благодаря сочетанию Жареный на мангале Баклажан. Блюдо получается сочным, понятным и очень аппетитным.","Grilled Eggplant comes together around Жареный на мангале Баклажан. The result is flavorful, confident, and deeply satisfying.","Mangal badamjan Жареный на мангале Баклажан bilen ayratyn achylyar. Netijede tagamy doly, dusnukli we oren ishdeachar bolyar.",,,
5,Помидор,Grilled Tomato,Mangal pomidor,"Легко, ароматно и с дымным акцентом. Состав: Жареный на мангале помидор","Light, aromatic, and touched with smoke. Ingredients: Жареный на мангале помидор","Yenil, ysly we tusse owushginli. Duzumi: Жареный на мангале помидор","Помидор раскрывается особенно ярко благодаря сочетанию Жареный на мангале помидор. Блюдо получается сочным, понятным и очень аппетитным.","Grilled Tomato comes together around Жареный на мангале помидор. The result is flavorful, confident, and deeply satisfying.","Mangal pomidor Жареный на мангале помидор bilen ayratyn achylyar. Netijede tagamy doly, dusnukli we oren ishdeachar bolyar.",,,
6,Болгарский перец,Grilled Bell Pepper,Mangal bolgar bury,"Легко, ароматно и с дымным акцентом. Состав: Болгарский перец жареный на мангале","Light, aromatic, and touched with smoke. Ingredients: Болгарский перец жареный на мангале","Yenil, ysly we tusse owushginli. Duzumi: Болгарский перец жареный на мангале","Болгарский перец раскрывается особенно ярко благодаря сочетанию Болгарский перец жареный на мангале. Блюдо получается сочным, понятным и очень аппетитным.","Grilled Bell Pepper comes together around Болгарский перец жареный на мангале. The result is flavorful, confident, and deeply satisfying.","Mangal bolgar bury Болгарский перец жареный на мангале bilen ayratyn achylyar. Netijede tagamy doly, dusnukli we oren ishdeachar bolyar.",,,
7,Картофель,Grilled Potatoes,Mangal kartof,"Легко, ароматно и с дымным акцентом. Состав: нарезаный картофель жареный на мангале","Light, aromatic, and touched with smoke. Ingredients: нарезаный картофель жареный на мангале","Yenil, ysly we tusse owushginli. Duzumi: нарезаный картофель жареный на мангале","Картофель раскрывается особенно ярко благодаря сочетанию нарезаный картофель жареный на мангале. Блюдо получается сочным, понятным и очень аппетитным.","Grilled Potatoes comes together around нарезаный картофель жареный на мангале. The result is flavorful, confident, and deeply satisfying.","Mangal kartof нарезаный картофель жареный на мангале bilen ayratyn achylyar. Netijede tagamy doly, dusnukli we oren ishdeachar bolyar.",,,
8,Сет микс,Mixed Grill Set,Garyshyk mangal toplumy,"Сытно, щедро и с мангальным характером. Состав: Лакомка, печень в жировой сетке, баранина, бараньи рёбрышки, люля-кебаб, курица, куриное люля, крылышки, куриная грудка, овощи, лук, зелень","Hearty, generous, and made for the grill. Ingredients: Лакомка, печень в жировой сетке, баранина, бараньи рёбрышки, люля-кебаб, курица, куриное люля, крылышки, куриная грудка, овощи, лук, зелень","Dokundyryjy, sahy we mangal ruhly. Duzumi: Лакомка, печень в жировой сетке, баранина, бараньи рёбрышки, люля-кебаб, курица, куриное люля, крылышки, куриная грудка, овощи, лук, зелень","Сет микс раскрывается особенно ярко благодаря сочетанию Лакомка, печень в жировой сетке, баранина, бараньи рёбрышки, люля-кебаб. Блюдо получается сочным, понятным и очень аппетитным.","Mixed Grill Set comes together around Лакомка, печень в жировой сетке, баранина, бараньи рёбрышки, люля-кебаб. The result is flavorful, confident, and deeply satisfying.","Garyshyk mangal toplumy Лакомка, печень в жировой сетке, баранина, бараньи рёбрышки, люля-кебаб bilen ayratyn achylyar. Netijede tagamy doly, dusnukli we oren ishdeachar bolyar.",,,
9,Сет 3,Grill Set No. 3,Mangal toplumy No. 3,"Сытно, щедро и с мангальным характером. Состав: Лакомка, печень в жировой сетке, баранина, бараньи рёбрышки, люля-кебаб, лук, зелень","Hearty, generous, and made for the grill. Ingredients: Лакомка, печень в жировой сетке, баранина, бараньи рёбрышки, люля-кебаб, лук, зелень","Dokundyryjy, sahy we mangal ruhly. Duzumi: Лакомка, печень в жировой сетке, баранина, бараньи рёбрышки, люля-кебаб, лук, зелень","Сет 3 раскрывается особенно ярко благодаря сочетанию Лакомка, печень в жировой сетке, баранина, бараньи рёбрышки, люля-кебаб. Блюдо получается сочным, понятным и очень аппетитным.","Grill Set No. 3 comes together around Лакомка, печень в жировой сетке, баранина, бараньи рёбрышки, люля-кебаб. The result is flavorful, confident, and deeply satisfying.","Mangal toplumy No. 3 Лакомка, печень в жировой сетке, баранина, бараньи рёбрышки, люля-кебаб bilen ayratyn achylyar. Netijede tagamy doly, dusnukli we oren ishdeachar bolyar.",,,
10,Сет 2,Grill Set No. 2,Mangal toplumy No. 2,"Сытно, щедро и с мангальным характером. Состав: Курица, куриное люля, крылышки, куриная грудка, лук, зелень","Hearty, generous, and made for the grill. Ingredients: Курица, куриное люля, крылышки, куриная грудка, лук, зелень","Dokundyryjy, sahy we mangal ruhly. Duzumi: Курица, куриное люля, крылышки, куриная грудка, лук, зелень","Сет 2 раскрывается особенно ярко благодаря сочетанию Курица, куриное люля, крылышки, куриная грудка, лук. Блюдо получается сочным, понятным и очень аппетитным.","Grill Set No. 2 comes together around Курица, куриное люля, крылышки, куриная грудка, лук. The result is flavorful, confident, and deeply satisfying.","Mangal toplumy No. 2 Курица, куриное люля, крылышки, куриная грудка, лук bilen ayratyn achylyar. Netijede tagamy doly, dusnukli we oren ishdeachar bolyar.",,,
11,Сет №1,Grill Set No. 1,Mangal toplumy No. 1,"Сытно, щедро и с мангальным характером. Состав: Качалдаки, перепёлка, цыплёнок табака, куриные крылышки, картофель, помидор","Hearty, generous, and made for the grill. Ingredients: Качалдаки, перепёлка, цыплёнок табака, куриные крылышки, картофель, помидор","Dokundyryjy, sahy we mangal ruhly. Duzumi: Качалдаки, перепёлка, цыплёнок табака, куриные крылышки, картофель, помидор","Сет №1 раскрывается особенно ярко благодаря сочетанию Качалдаки, перепёлка, цыплёнок табака, куриные крылышки, картофель. Блюдо получается сочным, понятным и очень аппетитным.","Grill Set No. 1 comes together around Качалдаки, перепёлка, цыплёнок табака, куриные крылышки, картофель. The result is flavorful, confident, and deeply satisfying.","Mangal toplumy No. 1 Качалдаки, перепёлка, цыплёнок табака, куриные крылышки, картофель bilen ayratyn achylyar. Netijede tagamy doly, dusnukli we oren ishdeachar bolyar.",,,
