cat_id,merchant_id,restaurant_name,base_name,base_description,ru_name,ru_description,tk_name,tk_description,target_en_name,target_ru_name,target_tk_name,target_en_description,target_ru_description,target_tk_description,notes
10,3,BURGER 160°,Салаты,,,,,,,,,,,,
11,3,BURGER 160°,Бургеры,,,,,,,,,,,,
12,3,BURGER 160°,Снеки,,,,,,,,,,,,
13,3,BURGER 160°,Супы,,,,,,,,,,,,
1,1,FIRE IT UP!,Мясо на мангале,,,,,,,,,,,,
3,1,FIRE IT UP!,Салаты,,,,,,,,,,,,
4,1,FIRE IT UP!,Овощи на мангале,,,,,,,,,,,,
5,1,FIRE IT UP!,Мангал,,,,,,,,,,,,
6,1,FIRE IT UP!,Птица на мангале,,,,,,,,,,,,
27,6,L’ULTIMO SPICCHIO PIZZA,Пицца,,,,,,,,,,,,
28,6,L’ULTIMO SPICCHIO PIZZA,Салаты,,,,,,,,,,,,
29,6,L’ULTIMO SPICCHIO PIZZA,Супы,,,,,,,,,,,,
2,2,Pizza &amp; Wing,Пицца,,,,,,,,,,,,
7,2,Pizza &amp; Wing,Cупы,,,,,,,,,,,,
8,2,Pizza &amp; Wing,Крылышки,,,,,,,,,,,,
9,2,Pizza &amp; Wing,Салаты,,,,,,,,,,,,
24,4,SUSHI.GOOD,Филадельфия ,,,,,,,,,,,,
18,4,SUSHI.GOOD,Калифорния,,,,,,,,,,,,
17,4,SUSHI.GOOD,Запеченные роллы,,,,,,,,,,,,
16,4,SUSHI.GOOD,Драконы,,,,,,,,,,,,
20,4,SUSHI.GOOD,Темпура роллы,,,,,,,,,,,,
25,4,SUSHI.GOOD,Футомаки,,,,,,,,,,,,
15,4,SUSHI.GOOD,Гунканы,,,,,,,,,,,,
19,4,SUSHI.GOOD,Маки,,,,,,,,,,,,
21,4,SUSHI.GOOD,Салаты,,,,,,,,,,,,
26,4,SUSHI.GOOD,Сеты,,,,,,,,,,,,
22,4,SUSHI.GOOD,Спайс роллы,,,,,,,,,,,,
23,4,SUSHI.GOOD,Супы,,,,,,,,,,,,
30,5,W.oK,Супы,,,,,,,,,,,,
31,5,W.oK,на WOKе,,,,,,,,,,,,
32,5,W.oK,Салаты,,,,,,,,,,,,
