id,name_ru,name_en,name_tm,short_description_ru,short_description_en,short_description_tm,description_ru,description_en,description_tm,ingredients_ru,ingredients_en,ingredients_tm
132,Пицца с помидорами черри,Cherry Tomato Pizza,Çerri pomidorly pitsa,"Лёгкая, сочная и по-летнему свежая. Состав: тесто для пиццы, красный соус, моцарелла, ароматное масло, микс черри, базилик","Light, juicy, and full of summer freshness. Ingredients: pizza dough, red sauce, mozzarella, aromatic oil, cherry tomato mix, basil","Ýeňil, şireli we tomus ýaly täze. Düzümi: pitsa hamyry, gyzyl sous, motsarella, hoşboý ýag, çerri pomidor garyndysy, bazilik","Микс черри, базилик и моцарелла ложатся на тонкое тесто так, будто эта пицца была создана для лёгкого настроения и чистого вкуса. Красный соус добавляет яркость, а ароматное масло мягко связывает все ноты воедино. Идеальный выбор, когда хочется чего-то простого, свежего и очень выразительного.","Cherry tomatoes, basil, and mozzarella rest on thin dough like this pizza was made for a bright mood and clean flavor. Red sauce brings vividness, while aromatic oil gently ties every note together. The perfect choice when you want something simple, fresh, and highly expressive.","Çerri pomidorlary, bazilik we motsarella inçe hamyryň üstünde açyk keýp we arassa tagam üçin döredilen ýaly ýerleşýär. Gyzyl sous oňa öwüşgin berýär, hoşboý ýag bolsa ähli tagamlary ýumşak birleşdirýär. Ýönekeý, täze we täsirli bir zat islände ajaýyp saýlaw.",,,
133,Маргарита,Margherita Pizza,Margherita pitsa,"Классика, которая никогда не подводит. Состав: тесто для пиццы, красный соус, моцарелла, базилик, ароматное масло","A classic that never lets you down. Ingredients: pizza dough, red sauce, mozzarella, basil, aromatic oil","Hiç wagt ýalňyşdyrmaýan klassika. Düzümi: pitsa hamyry, gyzyl sous, motsarella, bazilik, hoşboý ýag","Тонкое тесто, хороший томатный соус, моцарелла и базилик доказывают, что для настоящей пиццы не нужно ничего лишнего. В этой позиции всё построено на чистом вкусе и правильном балансе. Простая на вид, но безупречная в каждом кусочке.","Thin dough, good tomato sauce, mozzarella, and basil prove that a real pizza needs nothing extra. This one is built on clean flavor and perfect balance. It looks simple, yet feels flawless in every slice.","Inçe hamyr, gowy pomidor sousy, motsarella we bazilik hakyky pitsa üçin artykmaç zadyň gerek däldigini görkezýär. Bu pitsa arassa tagam we dogry deňagramlylyk üstünde gurlan. Görnüşi ýönekeý, emma her bölegi kämil.",,,
134,Пицца Пять сыров,Five Cheese Pizza,Bäş peýnirli pitsa,"Насыщенная, тягучая и по-настоящему сырная. Состав: тесто для пиццы, сливочный соус, моцарелла, пармезан, дор блю, чеддер, крем-чиз, базилик, ароматное масло","Rich, melty, and unapologetically cheesy. Ingredients: pizza dough, creamy sauce, mozzarella, parmesan, blue cheese, cheddar, cream cheese, basil, aromatic oil","Baý, süýnemekli we hakyky peýnirli. Düzümi: pitsa hamyry, gaýmakly sous, motsarella, parmezan, dor blu, çedder, krem peýnir, bazilik, hoşboý ýag","Сразу пять сыров собираются здесь в плотный, сливочный и очень выразительный вкус. Моцарелла даёт тягучесть, пармезан и чеддер — глубину, дор блю — характер, а крем-чиз делает текстуру особенно нежной. Пицца для тех, кто любит сыр не как акцент, а как главный сюжет.","Five cheeses come together here in a dense, creamy, highly expressive flavor. Mozzarella brings melt, parmesan and cheddar add depth, blue cheese adds character, and cream cheese makes the texture especially smooth. A pizza for those who want cheese not as an accent, but as the main story.","Bu ýerde bäş peýnir birigip, goýy, kremli we örän täsirli tagam döredýär. Motsarella süýnemek berýär, parmezan bilen çedder çuňluk goşýar, dor blu häsiýet berýär, krem peýnir bolsa gurluşyny has näzik edýär. Peýniri diňe bir öwüşgin däl, eýsem esasy tema hökmünde halaýanlar üçin pitsa.",,,
135,Пицца с грушей и Дор Блю,Pear and Blue Cheese Pizza,Armutly we Dor Blu peýnirli pitsa,"Нежная, контрастная и необыкновенно ароматная. Состав: тесто для пиццы, сливочный соус, моцарелла, базилик, груша, дор блю, мёд, грецкий орех, ароматное масло","Delicate, contrasting, and beautifully aromatic. Ingredients: pizza dough, creamy sauce, mozzarella, basil, pear, blue cheese, honey, walnut, aromatic oil","Näzik, garşylykly we hoşboý ysly. Düzümi: pitsa hamyry, gaýmakly sous, motsarella, bazilik, armut, dor blu peýnir, bal, hoz, hoşboý ýag","Сладкая груша, пряный дор блю, мёд и грецкий орех создают сложный и очень красивый вкусовой рисунок. Сливочный соус и моцарелла делают его мягче, а базилик добавляет свежую финальную ноту. Пицца, которую выбирают не по привычке, а по настроению.","Sweet pear, bold blue cheese, honey, and walnut create a layered and beautiful flavor profile. Creamy sauce and mozzarella soften it, while basil adds a fresh final note. This is the pizza you choose not out of habit, but for the mood it creates.","Süýji armut, ýiti dor blu peýnir, bal we hoz gatlakly hem owadan tagam döredýär. Gaýmakly sous bilen motsarella ony ýumşadýar, bazilik bolsa täze jemleýji öwüşgin berýär. Bu pitsa endik boýunça däl, döredýän keýpi üçin saýlanylýar.",,,
136,Острая мясная пицца,Spicy Meat Pizza,Ajy etli pitsa,"Плотная, пикантная и с огненным характером. Состав: тесто для пиццы, говядина, пармезан, моцарелла, репчатый и зелёный лук, халапеньо, красный соус, ароматное масло, шрирача","Bold, savory, and with a fiery edge. Ingredients: pizza dough, beef, parmesan, mozzarella, onion, green onion, jalapeno, red sauce, aromatic oil, sriracha","Dokurdyjy, ajymsy we otly häsiýetli. Düzümi: pitsa hamyry, sygyr eti, parmezan, motsarella, sogan, ýaşyl sogan, halapenýo, gyzyl sous, hoşboý ýag, şriraça","Сочная говядина, два вида лука, халапеньо и шрирача делают эту пиццу прямой, мощной и очень аппетитной. Пармезан и моцарелла добавляют плотности, а красный соус держит вкус собранным и ярким. Для тех, кому нравится, когда пицца отвечает характером.","Juicy beef, two kinds of onion, jalapeno, and sriracha make this pizza direct, powerful, and deeply appetizing. Parmesan and mozzarella add body, while red sauce keeps the flavor focused and vivid. Perfect for those who like a pizza with a bit of attitude.","Şireli sygyr eti, iki görnüşli sogan, halapenýo we şriraça bu pitsany göni, güýçli we örän işdäaçar edýär. Parmezan bilen motsarella oňa dykyzlyk berýär, gyzyl sous bolsa tagamy açyk we jemlenen saklaýar. Häsiýetli pitsany halaýanlar üçin.",,,
137,Гавайская,Hawaiian Pizza,Gawaý pitsasy,"Яркая, сочная и с приятной сладкой нотой. Состав: тесто для пиццы, сливочный соус, моцарелла, курица, ветчина, маслины, кукуруза, ананас, ароматное масло","Bright, juicy, and touched with sweetness. Ingredients: pizza dough, creamy sauce, mozzarella, chicken, ham, olives, corn, pineapple, aromatic oil","Açyk, şireli we ýeňil süýji öwüşginli. Düzümi: pitsa hamyry, gaýmakly sous, motsarella, towuk, wetçina, zeýtun, mekgejöwen, ananas, hoşboý ýag","Курица, ветчина и ананас здесь звучат легко и неожиданно гармонично. Сливочный соус делает вкус мягче, а маслины и кукуруза добавляют текстуру и объём. Хорошая Гавайская всегда держит баланс — и эта как раз из таких.","Chicken, ham, and pineapple come together here in a way that feels light and unexpectedly harmonious. Creamy sauce softens the profile, while olives and corn add texture and fullness. A good Hawaiian pizza is all about balance — and this one has it.","Bu ýerde towuk, wetçina we ananas ýeňil hem garaşylmadyk derejede sazlaşykly birleşýär. Gaýmakly sous tagamy ýumşadýar, zeýtun bilen mekgejöwen bolsa gurluş we baýlyk goşýar. Gowy Gawaý pitsasynyň esasy güýçli tarapy deňagramlylykdyr — bu hem şonuň ýaly.",,,
138,Пицца Цезарь,Caesar Pizza,Sezar pitsasy,"Свежая, сливочная и узнаваемо аппетитная. Состав: тесто для пиццы, сливочный соус, соус цезарь, моцарелла, курица, пармезан, грибы, петрушка, ароматное масло","Fresh, creamy, and unmistakably appetizing. Ingredients: pizza dough, creamy sauce, Caesar dressing, mozzarella, chicken, parmesan, mushrooms, parsley, aromatic oil","Täze, kremli we derrew işdäaçar. Düzümi: pitsa hamyry, gaýmakly sous, sezar sousy, motsarella, towuk, parmezan, kömelekler, petruşka, hoşboý ýag","Любимый вкус салата Цезарь здесь превращается в полноценную пиццу — более плотную, тёплую и насыщенную. Курица, пармезан и грибы дают хорошую текстуру, а фирменный соус делает вкус мягким и узнаваемым с первого кусочка. Отличный вариант для тех, кто любит сливочные сочетания.","The familiar flavor of Caesar salad turns into a full pizza here — richer, warmer, and more filling. Chicken, parmesan, and mushrooms add texture, while the signature sauce makes the flavor soft and instantly recognizable from the first slice. A great choice for anyone who loves creamy combinations.","Sezar salatynyň tanyş tagamy bu ýerde doly pitsa öwrülýär — has baý, ýyly we dokundyryjy. Towuk, parmezan we kömelekler gowy gurluş berýär, aýratyn sous bolsa ilkinji bölekden tanalýan ýumşak tagam döredýär. Kremli birleşmeleri halaýanlar üçin ajaýyp saýlaw.",,,
139,Вегетарианская пицца,Vegetarian Pizza,Wegitarýan pitsa,"Яркая, овощная и очень живая по вкусу. Состав: тесто для пиццы, сладкий перец, цукини, баклажан, грибы, томаты, моцарелла, красный соус, ароматное масло","Bright, vegetable-forward, and full of life. Ingredients: pizza dough, bell pepper, zucchini, eggplant, mushrooms, tomatoes, mozzarella, red sauce, aromatic oil","Açyk, gök önümlere baý we örän janly tagamly. Düzümi: pitsa hamyry, süýji burç, kabak, badamjan, kömelekler, pomidorlar, motsarella, gyzyl sous, hoşboý ýag","Сладкий перец, цукини, баклажан и томаты делают эту пиццу сочной, свежей и очень насыщенной без единого мясного акцента. Красный соус добавляет яркости, а моцарелла мягко связывает все ингредиенты в цельную композицию. Лёгкий, но совсем не скучный выбор.","Bell pepper, zucchini, eggplant, and tomatoes make this pizza juicy, fresh, and deeply flavorful without any meat at all. Red sauce adds brightness, while mozzarella gently brings everything together. A lighter choice that never feels boring.","Süýji burç, kabak, badamjan we pomidorlar bu pitsany etsiz hem şireli, täze we baý tagamly edýär. Gyzyl sous açyklyk berýär, motsarella bolsa ähli tagamlary ýumşak birleşdirýär. Ýeňil, ýöne asla içgysgynç däl saýlaw.",,,
140,Мюнхенская пицца,Munich Pizza,Mýunhen pitsasy,"Сытная, мясная и по-хорошему насыщенная. Состав: тесто для пиццы, охотничьи и копчёные колбаски, куриные сосиски, моцарелла, маринованные огурцы, лук, грибы, красный соус, ароматное масло","Hearty, meaty, and deeply satisfying. Ingredients: pizza dough, hunter’s sausages, smoked sausages, chicken sausages, mozzarella, pickles, onion, mushrooms, red sauce, aromatic oil","Dokurdyjy, etli we örän baý tagamly. Düzümi: pitsa hamyry, awçy kolbasalary, kakadylan kolbasa, towuk sosiska, motsarella, duzlanan hyýar, sogan, kömelekler, gyzyl sous, hoşboý ýag","Несколько видов колбас, маринованные огурцы, грибы и лук собираются здесь в по-настоящему плотный, сытный вкус. Эта пицца звучит уверенно, с лёгким европейским настроением и хорошим мясным характером. Когда нужен вариант посолиднее — Мюнхенская отлично попадает в настроение.","Several kinds of sausage, pickles, mushrooms, and onion come together here in a flavor that feels genuinely hearty and complete. This pizza has confidence, a touch of European comfort, and a strong meaty profile. When you want something more substantial, Munich Pizza hits the mark.","Birnäçe görnüşli kolbasa, duzlanan hyýar, kömelekler we sogan bu pitsada hakykatdan hem dokurdyjy tagam döredýär. Bu pitsanyň häsiýeti ynamly, biraz ýewropa öwüşginli we gowy etli häsiýetli. Has saldamly bir zat islände Mýunhen pitsasy örän ýerlikli bolýar.",,,
141,Пицца с лососем и крем-чизом,Salmon & Cream Cheese Pizza,Losos we krem peýnirli pitsa,"Нежная, благородная и очень выразительная. Состав: тесто для пиццы, лосось, рукола, каперсы, микс черри, маслины, сливочный соус, крем-чиз, ароматное масло","Delicate, refined, and beautifully expressive. Ingredients: pizza dough, salmon, arugula, capers, cherry tomato mix, olives, creamy sauce, cream cheese, aromatic oil","Näzik, asylly we örän täsirli. Düzümi: pitsa hamyry, losos, rukola, kapersler, çerri pomidor garyndysy, zeýtun, gaýmakly sous, krem peýnir, hoşboý ýag","Лосось, крем-чиз и сливочный соус создают мягкий, глубокий вкус с почти ресторанной элегантностью. Рукола, каперсы и черри добавляют свежесть, лёгкую солоноватость и красивый контраст. Пицца для тех, кто любит более тонкие и благородные сочетания.","Salmon, cream cheese, and creamy sauce create a smooth, deep flavor with almost restaurant-level elegance. Arugula, capers, and cherry tomatoes bring freshness, salinity, and contrast. A pizza for those who love finer, more refined combinations.","Losos, krem peýnir we gaýmakly sous mylaýym hem çuň tagam döredip, oňa diýen ýaly restoran derejeli asyllylyk berýär. Rukola, kapersler we çerri pomidorlar täzelik, ýeňil duzlulyk we owadan garşylyk goşýar. Has inçe we asylly birleşmeleri halaýanlar üçin pitsa.",,,
