item_id,merchant_id,restaurant_name,base_name,proposed_ru_name,existing_ru_name,existing_tk_name,proposed_en_name,proposed_tk_name,name_notes,base_short_description,proposed_ru_short_description,existing_ru_short_description,existing_tk_short_description,proposed_en_short_description,proposed_tk_short_description,short_description_notes
1,1,FIRE IT UP!,Люля кебаб,Люля-кебаб,,,Lula kebab,Lula kebab,language-tool:name | Эти слова должны быть написаны через дефис.,"Фарш из говядины, лук, зелень","Фарш из говядины, лук, зелень",,,"Minced beef, onion, greens","Ownuk sygyr eti, sogan, gök önümler",
2,2,Pizza &amp; Wing,Маргарита,Маргарита,,,Margarita,Margarita,,"Тесто для пиццы, красный соус, моцарелла, базилик, ароматное масло","Тесто для пиццы, красный соус, моцарелла, базилик, ароматное масло",,,"Pizza dough, red sauce, mozzarella, basil, aromatic oil","Pitsa hamyry, gyzyl sous, mozarella, reyhan, ysly ýag",
3,1,FIRE IT UP!,Дымок,Дымок,,,Smoke,Tüsse,,"Баклажан, помидор, перец болгарский, лук репчатый, чеснок, уксус, масло растительное, соль, зелень","Баклажан, помидор, перец болгарский, лук репчатый, чеснок, уксус, масло растительное, соль, зелень",,,"Eggplant, tomato, bell pepper, onion, garlic, vinegar, vegetable oil, salt, herbs","Bägül, pomidor, jaň burç, sogan, sarymsak, sirke, ösümlik ýagy, duz, otlar",
4,1,FIRE IT UP!,Баклажан,Баклажан,,,Eggplant,Bägül,,Жареный на мангале Баклажан,Жаренный на мангале Баклажан,,,Grilled Eggplant,Gril baklajan,"language-tool:short_description | Причастие пишется с «нн», есть зависимые слова: «Жаренный»"
5,1,FIRE IT UP!,Помидор,Помидор,,,Tomato,Pomidor,,Жареный на мангале помидор ,Жаренный на мангале помидор,,,Grilled tomato,Gril pomidor,"language-tool:short_description | Причастие пишется с «нн», есть зависимые слова: «Жаренный»"
6,1,FIRE IT UP!,Болгарский перец,Болгарский перец,,,bell pepper,jaň burç,,Болгарский перец жареный на мангале ,Болгарский перец жаренный на мангале,,,Grilled bell peppers,Gril jaň burçlary,"language-tool:short_description | Причастие пишется с «нн», есть зависимые слова: «жаренный»"
7,1,FIRE IT UP!,Картофель,Картофель,,,Potato,Kartoşka,,нарезаный картофель жареный на мангале ,Нарезанный картофель жаренный на мангале,,,Sliced ​​potatoes fried on the grill,Griliň üstünde gowrulan dilimlenen kartoşka,"language-tool:short_description | Возможно найдена орфографическая ошибка. | Причастие пишется с «нн», есть зависимые слова: «жаренный»"
8,1,FIRE IT UP!,Сет микс,Сет микс,,,Set mix,Garyndyny düzüň,,"Лакомка, печень в жеру, баранина, баранье рёбры, люля кебаб, курица, люля куриный, куриные крылья, куриная филе, овощи, лук, зелень","Лакомка, печень в жиру, баранина, баранье рёбра, люля-кебаб, курица, люля куриный, куриные крылья, куриная филе, овощи, лук, зелень",,,"Lakomka, liver in fat, lamb, lamb ribs, lula kebab, chicken, chicken lula, chicken wings, chicken fillet, vegetables, onions, greens","Lakomka, ýagly bagyr, guzy, guzy gapyrgasy, lula kebab, towuk, towuk lula, towuk ganaty, towuk filesi, gök önümler, sogan, gök önümler",language-tool:short_description | Возможно найдена орфографическая ошибка. | Возможно найдена орфографическая ошибка. | Эти слова должны быть написаны через дефис.
9,1,FIRE IT UP!,Сет 3,Сет 3,,,Set 3,3-nji toplum,,"Лакомка, печень в жеру, баранина, баранье рёбры, люля кебаб, лук, зелень","Лакомка, печень в жиру, баранина, баранье рёбра, люля-кебаб, лук, зелень",,,"Lakomka, liver in fat, lamb, lamb ribs, lula kebab, onion, greens","Lakomka, ýagly bagyr, guzy, guzy gapyrgasy, lula kebab, sogan, gök",language-tool:short_description | Возможно найдена орфографическая ошибка. | Возможно найдена орфографическая ошибка. | Эти слова должны быть написаны через дефис.
10,1,FIRE IT UP!,Сет 2,Сет 2,,,Set 2,2-nji toplum,,"Курица, люля куриный, куриные крылья, куриная филе, лук, зелень","Курица, люля куриный, куриные крылья, куриная филе, лук, зелень",,,"Chicken, chicken lula, chicken wings, chicken fillet, onion, greens","Towuk, towuk lula, towuk ganaty, towuk filesi, sogan, gök",
