id,name_ru,name_en,name_tm,short_description_ru,short_description_en,short_description_tm,description_ru,description_en,description_tm,ingredients_ru,ingredients_en,ingredients_tm
2,Маргарита,Margherita Pizza,Margherita pitsa,"Горячо, ароматно и по-итальянски щедро. Состав: Тесто для пиццы, красный соус, моцарелла, базилик, ароматное масло","Hot, fragrant, and generously Italian in spirit. Ingredients: Тесто для пиццы, красный соус, моцарелла, базилик, ароматное масло","Gyzgyn, hoshboy we italyan ruhunda sahy. Duzumi: Тесто для пиццы, красный соус, моцарелла, базилик, ароматное масло","Маргарита раскрывается благодаря яркому сочетанию Тесто для пиццы, красный соус, моцарелла, базилик, ароматное масло. Вкус звучит полно, сочно и очень убедительно.","Margherita Pizza opens around a vivid combination of Тесто для пиццы, красный соус, моцарелла, базилик, ароматное масло. The flavor feels complete, generous, and easy to come back to.","Margherita pitsa Тесто для пиццы, красный соус, моцарелла, базилик, ароматное масло bilen achylyar. Tagamy doly, shireli we ozune cekiji bolup gal?ar.",,,
24,ПП-пицца,Fit Pizza,Fit pitsa,"Горячо, ароматно и по-итальянски щедро. Состав: Тесто для пиццы, красный соус, шампиньоны, кабачки, баклажаны, болгарский перец, помидоры, моцарелла, ароматное масло","Hot, fragrant, and generously Italian in spirit. Ingredients: Тесто для пиццы, красный соус, шампиньоны, кабачки, баклажаны, болгарский перец, помидоры, моцарелла, ароматное масло","Gyzgyn, hoshboy we italyan ruhunda sahy. Duzumi: Тесто для пиццы, красный соус, шампиньоны, кабачки, баклажаны, болгарский перец, помидоры, моцарелла, ароматное масло","ПП-пицца раскрывается благодаря яркому сочетанию Тесто для пиццы, красный соус, шампиньоны, кабачки, баклажаны. Вкус звучит полно, сочно и очень убедительно.","Fit Pizza opens around a vivid combination of Тесто для пиццы, красный соус, шампиньоны, кабачки, баклажаны. The flavor feels complete, generous, and easy to come back to.","Fit pitsa Тесто для пиццы, красный соус, шампиньоны, кабачки, баклажаны bilen achylyar. Tagamy doly, shireli we ozune cekiji bolup gal?ar.",,,
25,Мясное изобилие,Meat Feast Pizza,Etli bay pitsa,"Горячо, ароматно и по-итальянски щедро. Состав: Тесто для пиццы, красный соус, курица, копчёные колбаски, бекон, ветчина, моцарелла, помидоры, сладкий перец, лук, ароматное масло","Hot, fragrant, and generously Italian in spirit. Ingredients: Тесто для пиццы, красный соус, курица, копчёные колбаски, бекон, ветчина, моцарелла, помидоры, сладкий перец, лук, ароматное масло","Gyzgyn, hoshboy we italyan ruhunda sahy. Duzumi: Тесто для пиццы, красный соус, курица, копчёные колбаски, бекон, ветчина, моцарелла, помидоры, сладкий перец, лук, ароматное масло","Мясное изобилие раскрывается благодаря яркому сочетанию Тесто для пиццы, красный соус, курица, копчёные колбаски, бекон. Вкус звучит полно, сочно и очень убедительно.","Meat Feast Pizza opens around a vivid combination of Тесто для пиццы, красный соус, курица, копчёные колбаски, бекон. The flavor feels complete, generous, and easy to come back to.","Etli bay pitsa Тесто для пиццы, красный соус, курица, копчёные колбаски, бекон bilen achylyar. Tagamy doly, shireli we ozune cekiji bolup gal?ar.",,,
30,Суп-пюре с курицей,Creamy Chicken Soup,Kremli towuk chorbasy,"Тепло, мягко и по-домашнему уютно. Состав: Курица, куриный бульон, картофель, морковь, сливки, укроп","Warm, gentle, and comfortingly homestyle. Ingredients: Курица, куриный бульон, картофель, морковь, сливки, укроп","Yyly, yumshak we oy tagamy yaly rahat. Duzumi: Курица, куриный бульон, картофель, морковь, сливки, укроп","Суп-пюре с курицей раскрывается благодаря яркому сочетанию Курица, куриный бульон, картофель, морковь, сливки. Вкус звучит полно, сочно и очень убедительно.","Creamy Chicken Soup opens around a vivid combination of Курица, куриный бульон, картофель, морковь, сливки. The flavor feels complete, generous, and easy to come back to.","Kremli towuk chorbasy Курица, куриный бульон, картофель, морковь, сливки bilen achylyar. Tagamy doly, shireli we ozune cekiji bolup gal?ar.",,,
31,Суп куриный с лапшой,Chicken Noodle Soup,Lapsaly towuk chorbasy,"Тепло, мягко и по-домашнему уютно. Состав: Бульон куриный, курица, овощи свежие, лапша, укроп","Warm, gentle, and comfortingly homestyle. Ingredients: Бульон куриный, курица, овощи свежие, лапша, укроп","Yyly, yumshak we oy tagamy yaly rahat. Duzumi: Бульон куриный, курица, овощи свежие, лапша, укроп","Суп куриный с лапшой раскрывается благодаря яркому сочетанию Бульон куриный, курица, овощи свежие, лапша, укроп. Вкус звучит полно, сочно и очень убедительно.","Chicken Noodle Soup opens around a vivid combination of Бульон куриный, курица, овощи свежие, лапша, укроп. The flavor feels complete, generous, and easy to come back to.","Lapsaly towuk chorbasy Бульон куриный, курица, овощи свежие, лапша, укроп bilen achylyar. Tagamy doly, shireli we ozune cekiji bolup gal?ar.",,,
32,Цезарь с креветками,Shrimp Caesar Salad,Krewetkaly Sezar salady,"Свежо, ярко и сбалансированно. Состав: Креветки, капуста пекинская, лист салата, черри, пармезан, яйцо перепелиные, сухари, соус","Fresh, bright, and beautifully balanced. Ingredients: Креветки, капуста пекинская, лист салата, черри, пармезан, яйцо перепелиные, сухари, соус","Taze, achyk we denagramly. Duzumi: Креветки, капуста пекинская, лист салата, черри, пармезан, яйцо перепелиные, сухари, соус","Цезарь с креветками раскрывается благодаря яркому сочетанию Креветки, капуста пекинская, лист салата, черри, пармезан. Вкус звучит полно, сочно и очень убедительно.","Shrimp Caesar Salad opens around a vivid combination of Креветки, капуста пекинская, лист салата, черри, пармезан. The flavor feels complete, generous, and easy to come back to.","Krewetkaly Sezar salady Креветки, капуста пекинская, лист салата, черри, пармезан bilen achylyar. Tagamy doly, shireli we ozune cekiji bolup gal?ar.",,,
33,Цезарь с куриной грудкой,Chicken Caesar Salad,Towukly Sezar salady,"Свежо, ярко и сбалансированно. Состав: Пекинская капуста, латук, курица, черри, пармезан, сухарики, перепелиные яйца, белый соус","Fresh, bright, and beautifully balanced. Ingredients: Пекинская капуста, латук, курица, черри, пармезан, сухарики, перепелиные яйца, белый соус","Taze, achyk we denagramly. Duzumi: Пекинская капуста, латук, курица, черри, пармезан, сухарики, перепелиные яйца, белый соус","Цезарь с куриной грудкой раскрывается благодаря яркому сочетанию Пекинская капуста, латук, курица, черри, пармезан. Вкус звучит полно, сочно и очень убедительно.","Chicken Caesar Salad opens around a vivid combination of Пекинская капуста, латук, курица, черри, пармезан. The flavor feels complete, generous, and easy to come back to.","Towukly Sezar salady Пекинская капуста, латук, курица, черри, пармезан bilen achylyar. Tagamy doly, shireli we ozune cekiji bolup gal?ar.",,,
34,Цезарь с тунцом,Tuna Caesar Salad,Tunesli Sezar salady,"Свежо, ярко и сбалансированно. Состав: Пекинская капуста, латук, тунец, черри, пармезан, сухарики, перепелиные яйца, сливочный соус","Fresh, bright, and beautifully balanced. Ingredients: Пекинская капуста, латук, тунец, черри, пармезан, сухарики, перепелиные яйца, сливочный соус","Taze, achyk we denagramly. Duzumi: Пекинская капуста, латук, тунец, черри, пармезан, сухарики, перепелиные яйца, сливочный соус","Цезарь с тунцом раскрывается благодаря яркому сочетанию Пекинская капуста, латук, тунец, черри, пармезан. Вкус звучит полно, сочно и очень убедительно.","Tuna Caesar Salad opens around a vivid combination of Пекинская капуста, латук, тунец, черри, пармезан. The flavor feels complete, generous, and easy to come back to.","Tunesli Sezar salady Пекинская капуста, латук, тунец, черри, пармезан bilen achylyar. Tagamy doly, shireli we ozune cekiji bolup gal?ar.",,,
35,Крылышки панко,Panko Wings,Panko ganatlary,"Хрустко, сочно и с ярким соусом. Состав: Крылышки, чеснок, мука, крахмал кукурузный, паприка молотая","Crisp, juicy, and packed with sauce. Ingredients: Крылышки, чеснок, мука, крахмал кукурузный, паприка молотая","Shypbyk, shireli we sousy guychli. Duzumi: Крылышки, чеснок, мука, крахмал кукурузный, паприка молотая","Крылышки панко раскрывается благодаря яркому сочетанию Крылышки, чеснок, мука, крахмал кукурузный, паприка молотая. Вкус звучит полно, сочно и очень убедительно.","Panko Wings opens around a vivid combination of Крылышки, чеснок, мука, крахмал кукурузный, паприка молотая. The flavor feels complete, generous, and easy to come back to.","Panko ganatlary Крылышки, чеснок, мука, крахмал кукурузный, паприка молотая bilen achylyar. Tagamy doly, shireli we ozune cekiji bolup gal?ar.",,,
36,Крылышки KFC,KFC Wings,KFC ganatlary,"Хрустко, сочно и с ярким соусом. Состав: Крылышки, чеснок, мука, крахмал кукурузный, паприка молотая","Crisp, juicy, and packed with sauce. Ingredients: Крылышки, чеснок, мука, крахмал кукурузный, паприка молотая","Shypbyk, shireli we sousy guychli. Duzumi: Крылышки, чеснок, мука, крахмал кукурузный, паприка молотая","Крылышки KFC раскрывается благодаря яркому сочетанию Крылышки, чеснок, мука, крахмал кукурузный, паприка молотая. Вкус звучит полно, сочно и очень убедительно.","KFC Wings opens around a vivid combination of Крылышки, чеснок, мука, крахмал кукурузный, паприка молотая. The flavor feels complete, generous, and easy to come back to.","KFC ganatlary Крылышки, чеснок, мука, крахмал кукурузный, паприка молотая bilen achylyar. Tagamy doly, shireli we ozune cekiji bolup gal?ar.",,,
37,Крылышки баффало,Buffalo Wings,Buffalo ganatlary,"Хрустко, сочно и с ярким соусом. Состав: Крылышки, острый томатный соус, чеснок, паприка, кунжут, зелёный лук","Crisp, juicy, and packed with sauce. Ingredients: Крылышки, острый томатный соус, чеснок, паприка, кунжут, зелёный лук","Shypbyk, shireli we sousy guychli. Duzumi: Крылышки, острый томатный соус, чеснок, паприка, кунжут, зелёный лук","Крылышки баффало раскрывается благодаря яркому сочетанию Крылышки, острый томатный соус, чеснок, паприка, кунжут. Вкус звучит полно, сочно и очень убедительно.","Buffalo Wings opens around a vivid combination of Крылышки, острый томатный соус, чеснок, паприка, кунжут. The flavor feels complete, generous, and easy to come back to.","Buffalo ganatlary Крылышки, острый томатный соус, чеснок, паприка, кунжут bilen achylyar. Tagamy doly, shireli we ozune cekiji bolup gal?ar.",,,
