merchant_id	restaurant_name	item_id	item_name	item_short_description	category_name
1	FIRE IT UP!	8	Сет микс	Лакомка, печень в жеру, баранина, баранье рёбры, люля кебаб, курица, люля куриный, куриные крылья, куриная филе, овощи, лук, зелень	Grill
1	FIRE IT UP!	9	Сет 3	Лакомка, печень в жеру, баранина, баранье рёбры, люля кебаб, лук, зелень	Grill
1	FIRE IT UP!	10	Сет 2	Курица, люля куриный, куриные крылья, куриная филе, лук, зелень	Grill
1	FIRE IT UP!	11	Сет 1	Качкалдак, перепёлка, цыплёнок, куриные крылья, картофель, помидор	Grill
1	FIRE IT UP!	1	Люля кебаб	Фарш из говядины, лук, зелень	Grilled Meat
1	FIRE IT UP!	12	Лакомка	Жир сетка, фарш, помидор	Grilled Meat
1	FIRE IT UP!	15	Баранина	Баранина, лук, зелень	Grilled Meat
1	FIRE IT UP!	17	Печень в жиру	Печени в жировой сетке, лук, зелень	Grilled Meat
1	FIRE IT UP!	23	Бараньи рёбрышки	Бараньи рёбрышки, лук, зелень	Grilled Meat
1	FIRE IT UP!	13	Куриная грудка на углях	Куриное филе, лук, зелень	Grilled Poultry
1	FIRE IT UP!	14	Качкалдаки	Качкалдаки, лук, зелень	Grilled Poultry
1	FIRE IT UP!	16	Голень курицы	Голень курицы, лук, зелень	Grilled Poultry
1	FIRE IT UP!	18	Перепёлки	Перепёлки, лук, зелень	Grilled Poultry
1	FIRE IT UP!	19	Куриное люля	Куриный фарш, лук, зелень	Grilled Poultry
1	FIRE IT UP!	20	Курица	Курица, лук, зелень	Grilled Poultry
1	FIRE IT UP!	21	Куриные крылышки	Куриные крылышки, лук, зелень	Grilled Poultry
1	FIRE IT UP!	22	Цыпленок табака	Цыпленок, лук, зелень	Grilled Poultry
1	FIRE IT UP!	4	Баклажан	Жареный на мангале Баклажан	Grilled Vegetables
1	FIRE IT UP!	5	Помидор	Жареный на мангале помидор 	Grilled Vegetables
1	FIRE IT UP!	6	Болгарский перец	Болгарский перец жареный на мангале 	Grilled Vegetables
1	FIRE IT UP!	7	Картофель	нарезаный картофель жареный на мангале 	Grilled Vegetables
1	FIRE IT UP!	3	Дымок	Баклажан, помидор, перец болгарский, лук репчатый, чеснок, уксус, масло растительное, соль, зелень	Salads
2	Pizza &amp; Wing	2	Маргарита	Тесто для пиццы, красный соус, моцарелла, базилик, ароматное масло	Pizza
2	Pizza &amp; Wing	24	ПП Пицца	Тесто для пиццы, красный соус, шампиньон, кабачки, баклажаны, болгарский перец, помидоры, моцарелла, ароматное масло	Pizza
2	Pizza &amp; Wing	25	Мясное изобилие	Тесто для пиццы, красный соус, курица, капчёная колбасы, бекон, ветчина, моцарелла, помидор, сладкий перец, лук репчатый, ароматное масло	Pizza
2	Pizza &amp; Wing	41	Поло э фунги	Тесто для пиццы, курица, грибы, пармезан, моцарелла, сливочный соус, соус цезарь, ароматное масло, петрушка	Pizza
