id,name_ru,name_en,name_tm,short_description_ru,short_description_en,short_description_tm,description_ru,description_en,description_tm,ingredients_ru,ingredients_en,ingredients_tm
72,?????????? ????? ??????,Baked Sakura Rolls,Sakura bisirilen rolllary,"Нежный, сбалансированный и очень аппетитный. Состав: Рис, нори, икра летучей рыбы, крем сыр, лосось, сырный соус","Delicate, balanced, and truly appetizing. Ingredients: rice, nori, flying fish roe, cream cheese, salmon, cheese sauce","Nazik, denagramly we isdaha acar. Duzumi: tuwi, nori, uchyan balyk ikrasy, krem peynir, losos, peynir sousy","Баланс текстур и начинок делает это блюдо аккуратным, выразительным и очень запоминающимся.","The balance of texture and filling makes this dish clean, expressive, and memorable.","Dokumalaryn we icligin denagramy bu tagamy arassa, acyk we yatda galyjy ediyor.",,,
73,Филадельфия грин,Philadelphia Green,Philadelphia Green,"Нежный, сбалансированный и очень аппетитный. Состав: Рис, крем сыр, огурец, чука водоросли, нори, кунжут","Delicate, balanced, and truly appetizing. Ingredients: rice, cream cheese, cucumber, chuka seaweed, nori, sesame","Nazik, denagramly we isdaha acar. Duzumi: tuwi, krem peynir, hyyar, chuka suwoty, nori, kunji","Баланс текстур и начинок делает это блюдо аккуратным, выразительным и очень запоминающимся.","The balance of texture and filling makes this dish clean, expressive, and memorable.","Dokumalaryn we icligin denagramy bu tagamy arassa, acyk we yatda galyjy ediyor.",,,
74,Филадельфия гриль,Philadelphia Grill,Philadelphia Grill,"Нежный, сбалансированный и очень аппетитный. Состав: Рис, нори, лосось, огурец, крем сыр, икра летучей рыбы","Delicate, balanced, and truly appetizing. Ingredients: rice, nori, salmon, cucumber, cream cheese, flying fish roe","Nazik, denagramly we isdaha acar. Duzumi: tuwi, nori, losos, hyyar, krem peynir, uchyan balyk ikrasy","Баланс текстур и начинок делает это блюдо аккуратным, выразительным и очень запоминающимся.","The balance of texture and filling makes this dish clean, expressive, and memorable.","Dokumalaryn we icligin denagramy bu tagamy arassa, acyk we yatda galyjy ediyor.",,,
75,"Сет ""Лосось"" 24 шт","Salmon Set, 24 pcs","Losos seti, 24 sany","Идеальный набор для компании и хорошего аппетита. Состав: Филадельфия - 4 шт, Филадельфия гриль - 4 шт, Сяки маки - 8 шт, Филадельфия лайт - 8 шт","A generous set for sharing and enjoying together. Ingredients: Filadelfiya - 4 pcs, Filadelfiya gril - 4 pcs, Syaki maki - 8 pcs, Filadelfiya layt - 8 pcs","Paylasmak we lezzet almak ucin bay toplum. Duzumi: Filadelfiya - 4 sany, Filadelfiya gril - 4 sany, Syaki maki - 8 sany, Filadelfiya layt - 8 sany","Взять для компании или для себя — в любом случае это сыто, ярко и очень удобно.","Perfect for sharing or enjoying solo when you want variety, fullness, and comfort in one order.","Durluligi, dokundyryjyligi we rahatlygy bir zakazda isle?anler ucin amatly toplum.",,,
76,"Сет ""Филадельфия"" 32 шт","Philadelphia Set, 32 pcs","Philadelphia seti, 32 sany","Идеальный набор для компании и хорошего аппетита. Состав: Филадельфия лайт - 8 шт, Филадельфия роял - 8 шт, Филадельфия грин - 8 шт, Филадельфия гриль - 8 шт","A generous set for sharing and enjoying together. Ingredients: Filadelfiya layt - 8 pcs, Filadelfiya royal - 8 pcs, Filadelfiya grin - 8 pcs, Filadelfiya gril - 8 pcs","Paylasmak we lezzet almak ucin bay toplum. Duzumi: Filadelfiya layt - 8 sany, Filadelfiya royal - 8 sany, Filadelfiya grin - 8 sany, Filadelfiya gril - 8 sany","Взять для компании или для себя — в любом случае это сыто, ярко и очень удобно.","Perfect for sharing or enjoying solo when you want variety, fullness, and comfort in one order.","Durluligi, dokundyryjyligi we rahatlygy bir zakazda isle?anler ucin amatly toplum.",,,
77,"Сет ""Калифорния"" 32 шт","California Set, 32 pcs","California seti, 32 sany","Идеальный набор для компании и хорошего аппетита. Состав: Калифорния с крабом - 8 шт, Калифорния с лососем - 8 шт, Калифорния с креветками - 8 шт, Калифорния с угрём - 8 шт","A generous set for sharing and enjoying together. Ingredients: Kaliforniya s krabom - 8 pcs, Kaliforniya s lososem - 8 pcs, Kaliforniya s krevetkami - 8 pcs, Kaliforniya s ugrem - 8 pcs","Paylasmak we lezzet almak ucin bay toplum. Duzumi: Kaliforniya s krabom - 8 sany, Kaliforniya s lososem - 8 sany, Kaliforniya s krevetkami - 8 sany, Kaliforniya s ugrem - 8 sany","Взять для компании или для себя — в любом случае это сыто, ярко и очень удобно.","Perfect for sharing or enjoying solo when you want variety, fullness, and comfort in one order.","Durluligi, dokundyryjyligi we rahatlygy bir zakazda isle?anler ucin amatly toplum.",,,
78,"Сет ""Жара"" 32 шт","Heat Set, 32 pcs","Yssy seti, 32 sany","Идеальный набор для компании и хорошего аппетита. Состав: Темпура микс - 8 шт, Запечённые роллы с курицей - 8 шт, Запечённые роллы с сыром - 8 шт, Спайс ролл с тунцом - 8 шт","A generous set for sharing and enjoying together. Ingredients: Tempura miks - 8 pcs, Zapechennye rolly s kuritsey - 8 pcs, Zapechennye rolly s syrom - 8 pcs, Spays roll s tuntsom - 8 pcs","Paylasmak we lezzet almak ucin bay toplum. Duzumi: Tempura miks - 8 sany, Zapechennye rolly s kuritsey - 8 sany, Zapechennye rolly s syrom - 8 sany, Spays roll s tuntsom - 8 sany","Взять для компании или для себя — в любом случае это сыто, ярко и очень удобно.","Perfect for sharing or enjoying solo when you want variety, fullness, and comfort in one order.","Durluligi, dokundyryjyligi we rahatlygy bir zakazda isle?anler ucin amatly toplum.",,,
79,Роллы футомаки с лососем,Futomaki Rolls with Salmon,losos bilen futomaki rolllary,"Нежный, сбалансированный и очень аппетитный. Состав: Рис, огурец, нори, крем сыр, лосось, крабовые палочки 8шт","Delicate, balanced, and truly appetizing. Ingredients: rice, cucumber, nori, cream cheese, salmon, crab sticks 8pcs","Nazik, denagramly we isdaha acar. Duzumi: tuwi, hyyar, nori, krem peynir, losos, krab tayajyklary 8sany","Баланс текстур и начинок делает это блюдо аккуратным, выразительным и очень запоминающимся.","The balance of texture and filling makes this dish clean, expressive, and memorable.","Dokumalaryn we icligin denagramy bu tagamy arassa, acyk we yatda galyjy ediyor.",,,
80,Роллы футомаки с креветками,Futomaki Rolls with Shrimp,krewetka bilen futomaki rolllary,"Нежный, сбалансированный и очень аппетитный. Состав: Рис, нори, креветки, огурец, крем сыр, крабовые палочки 8шт","Delicate, balanced, and truly appetizing. Ingredients: rice, nori, krevetki, cucumber, cream cheese, crab sticks 8pcs","Nazik, denagramly we isdaha acar. Duzumi: tuwi, nori, krevetki, hyyar, krem peynir, krab tayajyklary 8sany","Баланс текстур и начинок делает это блюдо аккуратным, выразительным и очень запоминающимся.","The balance of texture and filling makes this dish clean, expressive, and memorable.","Dokumalaryn we icligin denagramy bu tagamy arassa, acyk we yatda galyjy ediyor.",,,
81,Роллы футомаки с тунцом,Futomaki Rolls with Tuna,tunes bilen futomaki rolllary,"Нежный, сбалансированный и очень аппетитный. Состав: Рис, тунец, нори, огурец, крабовые палочки, крем сыр 8шт","Delicate, balanced, and truly appetizing. Ingredients: rice, tuna, nori, cucumber, crab sticks, cream cheese 8pcs","Nazik, denagramly we isdaha acar. Duzumi: tuwi, tunes, nori, hyyar, krab tayajyklary, krem peynir 8sany","Баланс текстур и начинок делает это блюдо аккуратным, выразительным и очень запоминающимся.","The balance of texture and filling makes this dish clean, expressive, and memorable.","Dokumalaryn we icligin denagramy bu tagamy arassa, acyk we yatda galyjy ediyor.",,,
